,,,,,,,,,,,,,,,,
momentum+ rate confirmed correct,Beam Momentum Setting (MeV/c),Beam Momentum Measured (MeV/c),Beam Polarity,Run Number,VME Run Number,Trigger Config,Aerogel Index,Run Date,# Spills,# Muons,# Pions,pion max cut,muon min cut,muon max cut,statistics code comments,comments
,,,,Total,Total,,,,,,,,,,,
,320,307.87,Negative,"1455, 1456",1490,LEP 5.1,1.075,4/9,307,3364,1325,1800,2700,11500,,
,320,301.51,Negative,1681,1632,LEP 5.1,1.075,4/21,458,6360,2493,1800,2400,11500,,
,320,302.24,Negative,1683,1633,LEP 5.1,1.075,4/21,481,6541,2619,1700,2400,11500,,
,320,,Negative,1685,1634,LEP 5.1,1.075,4/21,,,,,,,Odd behaviour (double clusters) seen in h_run1634_act2_vs_t0t1_e-veto.png plot from bruno's code,"""wrong muon momenta and muon/pion seperation"""
,320,301.79,Negative,1686,1635,LEP 5.1,1.075,4/21,537,7608,2938,1800,2400,11500,,
,320,301.31,Negative,1689,1637,LEP 5.1,1.075,4/21,526,7610,2962,1700,2400,11500,,
,320,301.03,Negative,1850,1709,LEP9Li v2.0,1.075,4/29,82,1043,385,1800,2400,11500,,
,320,300.54,Negative,1851,1710,LEP9Li v2.0,1.075,4/29,324,4096,1634,1800,2400,11500,,
,320,,Negative,1853,1711,LEP9Li v2.0,1.075,4/29,,,,,,,Errors/crash running bruno's code for statistics,
,,,,Total,Total,,,,,36622,14356,,,,,
,330,312.76,Negative,1452,1489,LEP 5.1,1.075,4/9,522,8490,4225,2400,3400,11600,,
,330,314.05,Negative,1691,1639,LEP 5.1,1.075,4/21,496,7982,3760,2400,3300,12000,,
,330,314.45,Negative,1693,1640,LEP 5.1,1.075,4/21,489,8020,3826,2400,3400,11600,,
,330,313.67,Negative,1695,1641,LEP 5.1,1.075,4/22,448,7316,3594,2400,3300,12000,,
,,,,Total,Total,,,,,31808,15405,,,,,
,340,322.32,Negative,1459,1493,LEP 5.1,1.075,4/10,479,9650,5233,2500,3800,12000,,
,340,327.57,Negative,1673,1627,LEP 5.1,1.075,4/20,451,5924,3401,2500,3800,12000,,
,340,,Negative,1675,1628,LEP 5.1,1.075,4/20,,,,,,,,
,340,328.52,Negative,1677,1629,LEP 5.1,1.075,4/20,492,6200,3598,2500,3800,12000,,RBU crashed
,340,328.01,Negative,1679,1630,LEP 5.1,1.075,4/21,159,2047,1083,2500,3800,12000,,
,340,,Negative,1844,1704,LEP9Li v2.0,1.11,4/28,,,,,,,Errors/crash running bruno's code for statistics,"""RBU crashed, and VME run accidentally ""quit"" not ""stop"""""
,340,320.13,Negative,1846,1705,LEP9Li v2.0,1.11,4/29,287,5414,3011,2500,3500,12000,,
,340,320.91,Negative,1848,1707,LEP9Li v2.0,1.11,4/29,258,4927,2807,2400,3500,12000,,
,,,,Total,Total,,,,,18588,10499,,,,,
,350,327.49,Negative,1460,1494,LEP 5.1,1.075,4/10,501,9745,5927,3200,4000,12000,,
,350,333.18,Negative,1472,1508,LEP 5.1,1.06,4/10,277,6772,4442,1800,2900,11000,,"""It seems the CESAR file name is not correct. Did not modify it since we do not know if they used 1457 or -350 which should be 1456 (M/T from night shift("""
,350,332.28,Negative,1664,1620,LEP 5.1,1.075,4/20,165,3684,2381,3200,4000,12000,,dropped packets
,350,333.43,Negative,1665,1622,LEP 5.1,1.075,4/20,270,6107,3823,3200,4000,12000,,"""beam abort"""
,350,332.73,Negative,1667,1623,LEP 5.1,1.075,4/20,233,4969,3222,3200,4000,12000,,RBU crashed
,350,333.52,Negative,1668,1624,LEP 5.1,1.075,4/20,21,478,288,3200,4000,12000,,dropped packets
,350,333.53,Negative,1669,1625,LEP 5.1,1.075,4/20,32,717,465,3200,4000,12000,,dropped packets
,350,331.64,Negative,1670,1626,LEP 5.1,1.075,4/20,511,10768,7035,3200,4000,12000,,
,,,,Total,Total,,,,,43240,27583,,,,,
,360,341.98,Negative,1461,1495,LEP 5.1,1.075,4/10,449,10970,8082,4300,5100,13000,,RBU crashed but not stopped right away (~25 minutes)
,360,342.41,Negative,1473,1509,LEP 5.1,1.06,4/10,285,7682,5551,2200,3200,11500,,
,360,342.86,Negative,1911,1751,LEP9Li v2.0,1.06,5/2,285,4222,3193,2100,3200,11500,,dropped packets
,360,342.59,Negative,1916,1755,LEP9Li v2.0,1.06,5/2,182,2760,2136,2200,3200,11500,,
,360,337.69,Negative,2004,1794,LEP9Li v2.0,1.06,5/6,31,652,470,2200,3200,11500,,
,360,339.43,Negative,2005,1795,LEP9Li v2.0,1.06,5/6,121,2374,1649,2100,3200,11500,,
,360,,Negative,2007,1796,LEP9Li v2.0,1.06,5/6,,,,,,,Errors/crash running bruno's code for statistics,"""time stamp in VME run got crazy"""
,360,338.84,Negative,2009,1797,LEP9Li v2.0,1.06,5/6,521,10500,7496,2000,3200,11500,,
,360,338.51,Negative,2011,1798,LEP9Li v2.0,1.06,5/6,173,3592,2623,2300,3300,12000,,
