,,,,,,,,,,,,,,,,
momentum+ rate confirmed correct,Beam Momentum Setting (MeV/c),Beam Momentum Measured (MeV/c),Beam Polarity,Run Number,VME Run Number,Trigger Config,Aerogel Index,Run Date,# Spills,# Muons,# Pions,pion max cut,muon min cut,muon max cut,statistics code comments,comments
,420,406.35,Positive,2081,1832,LEP 5.1,1.047,5/9,413,16330,22739,2600,3400,11000,,
,420,406.47,Positive,2083,1833,LEP 5.1,1.047,5/10,186,7010,9895,2600,3400,10500,,
,,,Positive,Total,Total,,,,,23340,32634,,,,,
,430,413.77,Positive,2079,1831,LEP 5.1,1.047,5/9,426,23089,35510,2500,3600,11000,,
,,,,Total,Total,,,,,23089,35510,,,,,
,520,498.33,Positive,2100,1840,LEP 5.1,1.03,5/10,19,1894,6065,1100,2000,8500,,"for calibration and run tracker spreadsheet: ""run stopped, too much data being written: not keeping up with data taking"""
,520,498.03,Positive,2101,1841,LEP 5.1,1.03,5/10,494,36017,115080,1100,1900,8500,,
,,,Positive,Total,Total,,,,,37911,121145,,,,,
,530,513.34,Positive,1346,1439,LEP 5.1,1.03,4/1,166,13678,43703,1200,2000,8700,,
,530,513.31,Positive,2098,1839,LEP 5.1,1.03,5/10,511,31649,106581,1200,2000,8700,,
,,,Positive,Total,Total,,,,,45327,150284,,,,,
,540,518.56,Positive,1348,1440,LEP 5.1,1.03,4/1,301,15308,54974,1500,2100,9000,,
,540,514.35,Positive,2091,1837,LEP 5.1,1.03,5/10,511,23556,86234,1500,2000,9000,,
,540,513.29,Positive,2093,1838,LEP 5.1,1.03,5/10,97,4630,16971,1500,2000,8400,,"""RBU died during run, dropped packets, stoppped run, manually stopped mPMTs"""
,,,,Total,Total,,,,,43494,158179,,,,,
